First Name     Last Name      SSN       Test1 Test2   Test3    Test4 FinalGrade

1	1024 BROWN STREET	33000.0	0.0	18300.0	33000.0	-14700.0	0.0	-14700.0	1.0
2	112 Alvil Road	80000.0	50419.0	133061.0	130419.0	2642.0	793.0	1849.4	1.0
3	113 CYPRESS DRIVE	109600.0	30266.0	149269.0	139866.0	9403.0	2821.0	6582.1	1.0
4	124 Bradley Circle	133302.0	75693.0	196807.0	208995.0	-12188.0	0.0	-12188.0	1.0
5	135 WHITBURN PLACE	69700.0	32394.0	117581.0	102094.0	15487.0	4646.0	10840.900000000001	1.0
6	138 BROOKSIDE  BLVD	100000.0	48462.0	162171.0	148462.0	13709.0	4113.0	9596.3	1.0
7	141 Cross Avenue	90000.0	5247.0	117004.0	95247.0	21757.0	6527.0	15229.900000000001	1.0
8	1529 Seton	157000.0	36671.0	155743.0	193671.0	-37928.0	0.0	-37928.0	1.0
9	16 MALVERN ROAD	108000.0	53589.0	184082.0	161589.0	22493.0	6748.0	15745.1	1.0
10	wgqytq	49000.0	30398.0	119040.0	79398.0	39642.0	11893.0	27749.4	1.0
11	19 Mavista Circle	19106.0	59702.0	46062.0	78808.0	-32746.0	0.0	-32746.0	1.0
0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	21 CREEK LANE	106000.0	0.0	120600.0	106000.0	14600.0	4380.0	10220.0	1.0
14	200 Brandywine Blvd	120.0	100.0	590.0	220.0	370.0	111.0	259.0	3.0
